Favorite subject,What was your favorite subject in high school?-TEXT,Number of colleges applied to,Rate your ability to identify the utility of statistics for making better business decisions. ,Rate your ability to identify the utility of statistics for making sense of the world around us.,How excited are you about the role of statistics in making sense of the world around you? ,Age of car,Standing Pulse Rate,Sitting Pulse Rate,Eye Color,Hair Color,Hours of sleep,Last digit in SSN,Sex,Number of Facebook friends,Teacher's Age (guess),Dollars spent on haircut,Number of seconds you can hold your breath,Emails received,Emails sent,Text messages received,Text messages sent,Minutes spent talking on a cell phone,Random number from 1 to 20,Pairs of shoes owned ,Grade in last math course,Grade hoped to earn in this class,SAT Verbal,SAT Math,Number of broken bones,Number of states visited,Number of countries visited,Number of apps on phone,Number of ounces of water drunk per day,Shoe size,Number of driving car accidents,Height (cm),Wingspan (cm)
English,,15,Below Average,Below Average,Extremely excited,-1,75,62,Brown,Brown,7,9,Male,55,34,0,60,10,2,200,129,0,4,4,A,A,0,0,4,5,1,2,128,13,0,183,0
Math,,11,Average,Above Average,Very excited,3,0,0,Green,Brown,9,5,Male,1871,45,18,32,5,0,200,200,6,19,7,B,A,0,0,0,2,3,20,16,11,0,185,
History,,6,Below Average,Below Average,Somewhat excited,3,64,64,Blue,Blonde,6,2,Female,1000,46,15,26,8,1,250,150,0,3,4,A,A,0,0,0,4,2,30,64,8,0,0,0
History,,1,Average,Above Average,Not excited at all,0,70,55,Brown,Black,4 or less,0,Male,500,35,17,50,10,0,250,300,0,14,4,B,A,650,750,15,20,10,20,128,13,0,175.25,182.88
English,,10,Below Average,Below Average,Somewhat excited,20,82,68,Green,Brown,7,7,Female,1000,50,30,38,5,2,,0,4.5,4,20,A,A,0,0,3,15,1,31,16,8,1,162,162
Gym,,10,Below Average,Below Average,Hardly excited,2,63,58,Blue,Brown,9,5,Male,1500,42,15,47,14,0,27,20,45,16,12,D,A,0,0,0,12,2,14,32,10,1,,0
Other,Yearbook,5,Below Average,Average,Hardly excited,6,70,60,Blue,Blonde,8,9,Male,318,34,20,30,6,1,113,70,0,3,4,A,A,500,500,0,10,3,20,8,10,0,180,50
Math,,7,Average,Average,Extremely excited,1,0,0,Brown,Black,9,5,Male,1910,42,17,62,8,3,56,54,25,4,12,B,A,0,0,2,46,2,4,24,12,0,205.74,20032
,,11,Average,Average,Very excited,-1,70,58,Blue,Blonde,7,9,Male,892,42,8,60,7,4,3,2,7,,2,A,A,600,630,,17,,45,64,,,185,0
Gym,,7,Average,Above Average,Very excited,10,74,68,Brown,Brown,6,1,Male,919,43,23,203,28,2,0,0,10,19,10,C,A,700,630,0,17,3,32,100,12,0,185,0
History,,7,Above Average,Average,Hardly excited,9,65,60,Blue,Brown,6,5,Female,693,43,100,41,17,5,150,60,1,17,30,A,A,670,560,0,23,5,0,62,7,0,176,176
Math,,15,Average,Average,Hardly excited,-1,91,70,Brown,Brown,6,7,Female,1000,45,8,38,5,0,3,3,10,9,10,B,A,500,650,1,6,3,20,8,8,0,170,76
Math,,7,Average,Average,Very excited,12,64,59,Blue,Blonde,7,,Female,1500,40,120,62,17,0,24,38,10,11,13,A,A,0,0,0,10,6,23,8,8,1,165.1,164
History,,4,Above Average,Average,Somewhat excited,6,78,72,Green,Brown,9,4,Male,438,52,13,38,3,1,15,9,36,14,8,A,A,690,610,0,0,1,80,100,12,0,173,
Other,None,4,Average,Average,Hardly excited,0,0,0,Blue,Red,10 or more,0,Female,0,50,125,35,5,0,50,50,3,12,15,A,A,0,0,0,5,1,5,16,7,1,165,183
Math,,13,Average,Average,Somewhat excited,2,92,84,Brown,Brown,8,5,Female,621,40,60,18,5,0,140,138,12,16,22,B,A,600,610,0,12,1,58,36,7,0,165,158
Science,,4,Average,Average,Very excited,7,71,68,Blue,Brown,7,9,Male,0,47,25,41,6,0,150,161,5,8,11,B,B,676,847,1,15,2,38,128,11,1,168,165
Other,Business,4,Average,Average,Somewhat excited,13,70,67,Blue,Brown,8,4,Male,807,46,20,41,6,0,7,8,3,11,11,A,A,,0,5,12,4,13,72,11,0,184.5,182
History,,2,Average,Average,Hardly excited,8,0,0,Blue,Blonde,8,9,Male,500,40,10,22,1,0,100,100,15,20,10,A,A,600,600,2,15,,10,20,12,0,185,180
History,,8,Average,Average,Somewhat excited,3,60,58,Brown,Black,8,4,Male,1500,39,20,83,12,1,80,50,7,4,5,D,A,570,540,3,5,3,50,80,13,1,186,195
English,,12,Below Average,Below Average,Very excited,9,80,64,Blue,Blonde,7,0,Female,1002,37,50,35,9,0,20,7,17,3,26,B,B,540,500,0,11,1,36,50,8,2,164,140
English,,4,Average,Average,Very excited,9,0,0,Brown,Blonde,8,0,Female,1091,0,0,55,21,4,75,40,15,18,30,B,A,0,0,1,11,6,33,48,7,1,162,0
Science,,6,Below Average,Average,Somewhat excited,5,90,66,Brown,Brown,8,3,Male,1081,45,18,13,5,0,40,38,3,12,7,A,A,590,680,1,10,4,63,30,13,0,178,175
History,,8,Above Average,Above Average,Very excited,4,72,60,Brown,Black,10 or more,1,Male,212,47,15,120,17,0,27,24,0,7,4,A,A,530,600,0,15,2,58,60,8,0,170,175
History,,6,Average,Above Average,Somewhat excited,7,70,66,Green,Blonde,7,5,Female,659,39,45,30,4,0,14,19,0,5,7,C,A,0,0,0,16,8,21,36,8,0,66,66
Gym,,6,Average,Average,Somewhat excited,3,76,62,Blue,Blonde,8,8,Male,1162,42,25,48,7,0,300,298,11,5,12,C,A,0,0,3,13,2,0,32,11,0,183,182
English,,5,Average,Average,Somewhat excited,11,98,78,Brown,Brown,7,9,Female,650,37,0,32,17,0,54,48,22,16,19,B,A,0,0,0,10,10,25,75,8,0,63,63
Other,Media Productions,10,Average,Average,Somewhat excited,13,70,66,Brown,Black,7,7,Female,532,40,30,48,20,0,58,10,15,7,45,A,A,0,0,0,3,2,35,3,8,0,162,162
Math,,2,Average,Average,Very excited,16,80,70,Green,Blonde,7,2,Female,986,44,75,60,10,0,70,20,10,4,50,B,A,550,750,1,15,0,35,6,8,0,162.5,170
Industrial shop,,1,Above Average,Above Average,Somewhat excited,9,80,73,Green,Brown,8,7,Male,1500,37,40,42,16,3,5,4,2,2,12,B,A,730,680,6,14,4,90,32,9,1,174,180
History,,7,Average,Average,Somewhat excited,7,0,0,Brown,Brown,5,4,Male,560,30,18,70,45,3,6,7,7,5,6,A,A,0,0,0,13,1,0,0,,,0,0
Science,,6,Average,Average,Very excited,15,66,35,Brown,Brown,7,3,Male,400,38,35,61,10,2,80,77,6,6,8,B,A,670,700,4,7,2,15,90,10,0,168,169
Gym,,7,Average,Average,Somewhat excited,11,73,45,Brown,Brown,8,3,Male,785,51,20,30,45,3,500,488,45,15,4,C,B,600,500,2,8,2,71,20,8,0,177.8,86.36
History,,6,Average,Average,Somewhat excited,8,66,59,Green,Brown,7,8,Male,547,40,13,26,6,0,67,60,2,12,22,A,A,0,0,2,7,3,16,112,14,0,185.42,0
Other,Music,7,Above Average,Average,Very excited,13,60,56,Brown,Brown,5,1,Male,1124,33,20,63,23,8,103,98,32,13,16,A,A,600,580,1,33,11+,51,169,13,0,184.15,187
Math,,8,Average,Above Average,Somewhat excited,16,68,64,Green,Blonde,7,4,Male,250,37,$15.00 ,0,70,0,130,130,40,20,5,A,A,0,0,5,21,0,30,96,15,1,193,196
History,,1,Average,Average,Somewhat excited,12,70,64,Brown,Black,8,4,Male,614,40,14,24,8,1,50,50,5,4,6,D,A,680,460,2,8,1,9,128,13,0,184,180
History,,1,Above Average,Above Average,Somewhat excited,8,64,56,Brown,Brown,8,2,Male,1319,38,20,20,15,2,30,30,90,14,4,A,A,0,0,1,7,9,10,32,12,5,180,167
English,,6,Average,Average,Very excited,1,84,78,Blue,Brown,5,0,Male,250,35,11,1,6,1,25,23,10,13,3,A,A,640,680,1,11,4,46,60,9,0,172,180
Math,,5,Above Average,Average,Somewhat excited,11,45,48,Blue,Brown,7,8,Male,344,47,0,0,18,0,20,24,7,7,6,A,A,700,900,1,0,10,30,4,11,0,179,190
Math,,5,Above Average,Average,Very excited,7,75,68,Brown,Blonde,7,4,Male,623,38,16,30,3,2,40,34,10,6,6,A,A,660,690,0,10,0,29,72,7,0,160,0
History,,5,Average,Average,Hardly excited,10,80,100,Brown,Brown,7,2,Female,542,38,72,100,18,0,20,22,0,12,12,B,A,0,0,2,8,1,14,50,7,1,150,200
History,,2,Below Average,Below Average,Hardly excited,10,0,0,Brown,Brown,6,,Male,250,51,16,31,5,2,16,20,0,18,7,A,A,550,570,0,11,7,40,64,12,1,180,190
English,,10,Average,Average,Somewhat excited,1,77,77,Black,Black,7,9,Male,1247,42,15,23,8,0,17,19,60,7,7,B,A,0,0,0,4,2,8,30,10,0,180,152
English,,4,Average,Above Average,Somewhat excited,23,0,0,Brown,Brown,7,9,Male,463,39,20,50,9,0,12,6,2,4,8,B,A,0,0,1,20,2,22,90,13,0,172,175
Other,Music,14,Average,Average,Very excited,-1,73,70,Brown,Brown,7,8,Male,545,45,15,36,7,0,350,50,10,11,8,D,A,600,600,0,13,2,24,32,10,0,170,70
Math,,23,Average,Average,Very excited,11,89,87,Brown,Blonde,5,8,Female,3165,35,70,48,11,0,300,200,7,12,33,C,A,510,480,6,44,6,75,75,8,0,161.02,160.02
